Source,Target,Type,Id,Label,Weight
UNIRM_001,UNIRM_003,Undirected,e2,,0.2609
UNIRM_001,UNIRM_018,Undirected,e3,,0.2222
UNIRM_001,UNIRM_019,Undirected,e4,,0.1429
UNIRM_001,UNIRM_020,Undirected,e5,,0.1132
UNIRM_001,UNIRM_021,Undirected,e6,,0.1875
UNIRM_001,UNIRM_022,Undirected,e7,,0.2857
UNIRM_001,UNIRM_023,Undirected,e8,,0.3243
UNIRM_001,UNIRM_024,Undirected,e9,,0.2222
UNIRM_001,UNIRM_025,Undirected,e10,,0.2745
UNIRM_001,UNIRM_026,Undirected,e11,,0.2381
UNIRM_001,UNIRM_027,Undirected,e12,,0.24
UNIRM_001,UNIRM_028,Undirected,e13,,0.1739
UNIRM_001,UNIRM_029,Undirected,e14,,0.2273
UNIRM_001,UNIRM_030,Undirected,e15,,0.3429
UNIRM_001,UNIRM_031,Undirected,e16,,0.3333
UNIRM_001,UNIRM_033,Undirected,e17,,0.2128
UNIRM_001,UNIRM_034,Undirected,e18,,0.1463
UNIRM_001,UNIRM_037,Undirected,e19,,0.3429
UNIRM_001,UNIRM_039,Undirected,e20,,0.1132
UNIRM_001,UNIRM_040,Undirected,e21,,0.12
UNIRM_001,UNIRM_041,Undirected,e22,,0.0476
UNIRM_001,UNIRM_043,Undirected,e23,,0.1778
UNIRM_001,UNIRM_044,Undirected,e24,,0.0755
UNIRM_001,UNIRM_045,Undirected,e25,,0.2222
UNIRM_001,UNIRM_048,Undirected,e26,,0.129
UNIRM_001,UNIRM_049,Undirected,e27,,0.0571
UNIRM_001,UNIRM_054,Undirected,e28,,0.2
UNIRM_001,UNIRM_055,Undirected,e29,,0.0435
UNIRM_001,UNIRM_056,Undirected,e30,,0.1111
UNIRM_001,UNIRM_057,Undirected,e31,,0.0833
UNIRM_001,UNIRM_058,Undirected,e32,,0.1538
UNIRM_001,UNIRM_062,Undirected,e33,,0.3636
UNIRM_001,UNIRM_063,Undirected,e34,,0.1538
UNIRM_001,UNIRM_064,Undirected,e35,,0.1702
UNIRM_001,UNIRM_066,Undirected,e36,,0.069
UNIRM_001,UNIRM_068,Undirected,e37,,0.2222
UNIRM_001,UNIRM_070,Undirected,e38,,0.0465
UNIRM_001,UNIRM_082,Undirected,e39,,0.2051
UNIRM_001,UNIRM_083,Undirected,e40,,0.1304
UNIRM_001,UNIRM_092,Undirected,e41,,0.0588
UNIRM_001,UNIRM_106,Undirected,e42,,0.04
UNIRM_001,UNIRM_111,Undirected,e43,,0.1905
UNIRM_001,UNIRM_112,Undirected,e44,,0.3
UNIRM_001,UNIRM_113,Undirected,e45,,0.1053
UNIRM_001,UNIRM_114,Undirected,e46,,0.1176
UNIRM_001,UNIRM_115,Undirected,e47,,0.1111
UNIRM_001,UNIRM_117,Undirected,e48,,0.2105
UNIRM_001,UNIRM_119,Undirected,e49,,0.1905
UNIRM_001,UNIRM_121,Undirected,e50,,0.069
UNIRM_001,UNIRM_122,Undirected,e51,,0.1053
UNIRM_001,UNIRM_123,Undirected,e52,,0.0909
UNIRM_001,UNIRM_126,Undirected,e53,,0.15
UNIRM_001,UNIRM_133,Undirected,e54,,0.087
UNIRM_001,UNIRM_134,Undirected,e55,,0.1111
UNIRM_001,UNIRM_139,Undirected,e56,,0.2222
UNIRM_001,UNIRM_142,Undirected,e57,,0.1739
UNIRM_001,UNIRM_144,Undirected,e58,,0.0571
UNIRM_001,UNIRM_153,Undirected,e59,,0.093
UNIRM_001,UNIRM_154,Undirected,e60,,0.0769
UNIRM_001,UNIRM_157,Undirected,e61,,0.1143
UNIRM_001,UNIRM_178,Undirected,e62,,0.1053
UNIRM_001,UNIRM_218,Undirected,e63,,0.1111
UNIRM_001,UNIRM_221,Undirected,e64,,0.087
UNIRM_001,UNIRM_225,Undirected,e65,,0.0526
UNIRM_001,UNIRM_230,Undirected,e66,,0.1
UNIRM_001,UNIRM_236,Undirected,e67,,0.1429
UNIRM_001,UNIRM_261,Undirected,e68,,0.1176
UNIRM_001,UNIRM_286,Undirected,e69,,0.069
UNIRM_001,UNIRM_338,Undirected,e70,,0.1081
UNIRM_003,UNIRM_018,Undirected,e73,,0.1176
UNIRM_003,UNIRM_020,Undirected,e74,,0.0769
UNIRM_003,UNIRM_021,Undirected,e75,,0.2581
UNIRM_003,UNIRM_022,Undirected,e76,,0.0976
UNIRM_003,UNIRM_023,Undirected,e77,,0.1667
UNIRM_003,UNIRM_024,Undirected,e78,,0.2353
UNIRM_003,UNIRM_025,Undirected,e79,,0.2
UNIRM_003,UNIRM_026,Undirected,e80,,0.1463
UNIRM_003,UNIRM_027,Undirected,e81,,0.1667
UNIRM_003,UNIRM_028,Undirected,e82,,0.0889
UNIRM_003,UNIRM_029,Undirected,e83,,0.093
UNIRM_003,UNIRM_030,Undirected,e84,,0.2353
UNIRM_003,UNIRM_031,Undirected,e85,,0.1143
UNIRM_003,UNIRM_033,Undirected,e86,,0.1304
UNIRM_003,UNIRM_034,Undirected,e87,,0.15
UNIRM_003,UNIRM_037,Undirected,e88,,0.2353
UNIRM_003,UNIRM_040,Undirected,e89,,0.0408
UNIRM_003,UNIRM_043,Undirected,e90,,0.1364
UNIRM_003,UNIRM_044,Undirected,e91,,0.2308
UNIRM_003,UNIRM_045,Undirected,e92,,0.1887
UNIRM_003,UNIRM_046,Undirected,e93,,0.08
UNIRM_003,UNIRM_048,Undirected,e94,,0.1333
UNIRM_003,UNIRM_049,Undirected,e95,,0.1176
UNIRM_003,UNIRM_054,Undirected,e96,,0.2105
UNIRM_003,UNIRM_056,Undirected,e97,,0.2353
UNIRM_003,UNIRM_062,Undirected,e98,,0.1905
UNIRM_003,UNIRM_063,Undirected,e99,,0.0392
UNIRM_003,UNIRM_064,Undirected,e100,,0.1304
UNIRM_003,UNIRM_066,Undirected,e101,,0.0714
UNIRM_003,UNIRM_068,Undirected,e102,,0.1176
UNIRM_003,UNIRM_070,Undirected,e103,,0.0952
UNIRM_003,UNIRM_082,Undirected,e104,,0.1579
UNIRM_003,UNIRM_083,Undirected,e105,,0.1333
UNIRM_003,UNIRM_092,Undirected,e106,,0.1818
UNIRM_003,UNIRM_106,Undirected,e107,,0.0816
UNIRM_003,UNIRM_111,Undirected,e108,,0.1
UNIRM_003,UNIRM_112,Undirected,e109,,0.4211
UNIRM_003,UNIRM_115,Undirected,e110,,0.1176
UNIRM_003,UNIRM_117,Undirected,e111,,0.1111
