Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
26	Spectrogram 1	2	385.898373700	386.576370900	3555.556	12239.316	8683.760	0.6780	SeaPro_20210811_102305_2CH192K16.wav	3750.000;3750.000;3750.000;3750.000;3750.000;10500.000;10125.000;9750.000;9375.000;9000.000;8062.500;3750.000;8062.500;8062.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;3750.000;3750.000;7875.000;7875.000;7875.000;7875.000;7875.000;3750.000;8062.500;7687.500;3750.000;3750.000;3750.000;3750.000;8062.500;8062.500;3750.000;6187.500;6375.000;6375.000;6187.500;7875.000;7875.000;7875.000;7875.000;7875.000;7500.000;7500.000;7500.000;7500.000;7500.000;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7125.000;7125.000;7125.000;7125.000;6937.500;6750.000;6562.500;6562.500;5812.500;5812.500;5625.000;5625.000;5625.000;5437.500;5437.500;5437.500;5437.500;5437.500;5437.500;5437.500;4500.000;4687.500;4687.500;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4312.500;4500.000;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;8437.500;4312.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3562.500;3562.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3562.500;7500.000;7500.000;3750.000;3750.000;7500.000;3750.000;3750.000;3750.000;7500.000;3750.000;3750.000;7500.000;7500.000;7500.000;7500.000;7500.000;6375.000;3937.500;6375.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3750.000;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;4125.000;4125.000	0.000;0.000;0.000;0.000;2531.250;-140.625;-140.625;-140.625;-140.625;-351.562;-1617.188;1617.188;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;-1546.875;0.000;1546.875;0.000;0.000;0.000;0.000;-1546.875;1617.188;-140.625;-1476.562;0.000;0.000;0.000;1617.188;0.000;-1617.188;914.062;70.312;0.000;-70.312;632.812;0.000;0.000;0.000;0.000;-140.625;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;-70.312;-70.312;0.000;-281.250;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-351.562;70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1546.875;-1546.875;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;0.000;140.625;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;1476.562;0.000;-1406.250;0.000;1406.250;-1406.250;0.000;0.000;1406.250;-1406.250;0.000;1406.250;0.000;0.000;0.000;0.000;-421.875;-914.062;914.062;-914.062;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000	385.8984	12239	3555	W_5205	SW_045	SE	SW	1	1.5		1	1	1	1	0	1	M	W-CT-BC
27	Spectrogram 1	2	386.827229800	387.166228400	3965.812	12991.453	9025.641	0.3390	SeaPro_20210811_102305_2CH192K16.wav	4125.000;4125.000;4125.000;4125.000;12375.000;12187.500;4125.000;12187.500;12000.000;11812.500;11812.500;11812.500;11625.000;11625.000;11437.500;11250.000;11062.500;11062.500;4125.000;4125.000;4125.000;4125.000;4125.000;4312.500;4125.000;9750.000;9562.500;9750.000;4125.000;9375.000;9375.000;9375.000;4125.000;4125.000;9187.500;9187.500;9187.500;4125.000;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9000.000;4125.000;4125.000;5062.500;4125.000;4500.000;4125.000;4125.000;4125.000;9000.000;4500.000;4312.500;4125.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;8812.500;8625.000;8625.000;8625.000;8437.500;8437.500;8437.500;8250.000;8062.500;8062.500;8062.500;7875.000;7500.000;7312.500;7125.000;6937.500;6750.000;6562.500;6562.500;6375.000;6375.000;6000.000;5812.500;5625.000;5625.000;5625.000;5625.000;5625.000;5625.000;5625.000;5625.000;5625.000;5437.500;5437.500;5437.500;5437.500;5437.500;4500.000;4500.000;4500.000;4500.000;4500.000;4312.500;4500.000;4500.000;4500.000;4500.000;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4500.000;4687.500;4687.500;5625.000	0.000;0.000;0.000;3093.750;-70.312;-3023.438;3023.438;-70.312;-70.312;0.000;0.000;-70.312;0.000;-70.312;-70.312;-70.312;0.000;-2601.562;0.000;0.000;0.000;0.000;70.312;-70.312;2109.375;-70.312;70.312;-2109.375;1968.750;0.000;0.000;-1968.750;0.000;1898.438;0.000;0.000;-1898.438;1898.438;0.000;0.000;0.000;0.000;0.000;-70.312;-1828.125;0.000;351.562;-351.562;140.625;-140.625;0.000;0.000;1828.125;-1687.500;-70.312;-70.312;1828.125;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;-70.312;0.000;0.000;-70.312;0.000;0.000;-70.312;-70.312;0.000;0.000;-70.312;-140.625;-70.312;-70.312;-70.312;-70.312;-70.312;0.000;-70.312;0.000;-140.625;-70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;-351.562;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;70.312;0.000;351.562	386.8272	12991	3965	W_5205	SW_045	SE	SW	1	1.5		1	1	1	1	0	1	M	BC
28	Spectrogram 1	2	387.705126200	388.047514800	3692.308	12854.701	9162.393	0.3424	SeaPro_20210811_102305_2CH192K16.wav	4312.500;12375.000;12375.000;12375.000;3750.000;11812.500;11812.500;11437.500;11250.000;11437.500;10687.500;10500.000;10500.000;4125.000;4312.500;4125.000;3750.000;4125.000;3750.000;3750.000;9750.000;9750.000;9750.000;4125.000;9562.500;9562.500;9375.000;9375.000;9375.000;9187.500;3750.000;9000.000;9000.000;9000.000;3750.000;3750.000;8625.000;8625.000;8625.000;8625.000;3750.000;8437.500;3750.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8250.000;8250.000;8437.500;4125.000;3937.500;3937.500;3937.500;3750.000;4125.000;4125.000;4125.000;3937.500;3937.500;3937.500;8250.000;3937.500;3937.500;3937.500;8062.500;8062.500;7875.000;7875.000;7687.500;7312.500;7125.000;6562.500;6375.000;6375.000;6187.500;6187.500;5062.500;5062.500;4875.000;4875.000;4875.000;4687.500;4687.500;4687.500;4687.500;4500.000;4312.500;4500.000;4312.500;4312.500;4312.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000	3023.438;0.000;0.000;-3234.375;3023.438;0.000;-140.625;-70.312;70.312;-281.250;-70.312;0.000;-2390.625;70.312;-70.312;-140.625;140.625;-140.625;0.000;2250.000;0.000;0.000;-2109.375;2039.062;0.000;-70.312;0.000;0.000;-70.312;-2039.062;1968.750;0.000;0.000;-1968.750;0.000;1828.125;0.000;0.000;0.000;-1828.125;1757.812;-1757.812;1757.812;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;70.312;-1617.188;-70.312;0.000;0.000;-70.312;140.625;0.000;0.000;-70.312;0.000;0.000;1617.188;-1617.188;0.000;0.000;1546.875;0.000;-70.312;0.000;-70.312;-140.625;-70.312;-210.938;-70.312;0.000;-70.312;0.000;-421.875;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;-70.312;70.312;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	387.7051	12854	3692	W_5205	SW_045	SE	SW	1	1.5		1	0	1	1	0	1	M	CT-BC
29	Spectrogram 1	2	388.725511900	389.047560600	4102.564	11350.427	7247.863	0.3220	SeaPro_20210811_102305_2CH192K16.wav	4125.000;10687.500;10500.000;4125.000;10312.500;10125.000;9937.500;9937.500;9937.500;9750.000;9562.500;9562.500;9562.500;9375.000;9375.000;9375.000;9375.000;9187.500;9187.500;9187.500;9000.000;8812.500;9000.000;8812.500;8812.500;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;4125.000;4125.000;4500.000;4312.500;4125.000;4125.000;4125.000;8437.500;8437.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8062.500;8062.500;8062.500;8062.500;8250.000;7875.000;7875.000;7500.000;7687.500;7312.500;7125.000;7125.000;6375.000;6562.500;6375.000;6375.000;6000.000;5812.500;5625.000;5625.000;5625.000;5625.000;5437.500;5437.500;5437.500;5250.000;5250.000;5062.500;5062.500;5062.500;4875.000;4875.000;4875.000;4687.500;4500.000;4687.500;4500.000;4500.000;4500.000;4500.000;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;7875.000;6562.500;4125.000	2460.938;-70.312;-2390.625;2320.312;-70.312;-70.312;0.000;0.000;-70.312;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;-70.312;-70.312;70.312;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-1687.500;0.000;140.625;-70.312;-70.312;0.000;0.000;1617.188;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;70.312;-140.625;0.000;-140.625;70.312;-140.625;-70.312;0.000;-281.250;70.312;-70.312;0.000;-140.625;-70.312;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;-70.312;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;-70.312;-70.312;70.312;-70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1195.312;-492.188;-914.062	388.7255	11350	4102	W_5205	SW_045	SE	SW	1	1.5		1	0	1	1	0	1	M	CT-BC
30	Spectrogram 1	2	391.562765100	391.922103600	3965.812	14905.983	10940.171	0.3593	SeaPro_20210811_102305_2CH192K16.wav	4125.000;4125.000;4687.500;4875.000;14062.500;13875.000;13687.500;13687.500;13500.000;13312.500;12750.000;12375.000;12375.000;4125.000;12000.000;11625.000;11625.000;10875.000;10687.500;10687.500;10500.000;10500.000;10500.000;10500.000;10312.500;10312.500;10125.000;10125.000;9937.500;9937.500;9750.000;9750.000;9562.500;9562.500;9375.000;9187.500;9187.500;9000.000;9000.000;8812.500;8812.500;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8062.500;8062.500;8062.500;7875.000;7875.000;7687.500;7500.000;4687.500;4312.500;7125.000;7125.000;7125.000;7125.000;7125.000;6937.500;6562.500;6562.500;12750.000;6375.000;5625.000;5437.500;5437.500;5437.500;4875.000;4875.000;4875.000;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4125.000;4125.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4500.000;4687.500	0.000;210.938;70.312;3445.312;-70.312;-70.312;0.000;-70.312;-70.312;-210.938;-140.625;0.000;-3093.750;2953.125;-140.625;0.000;-281.250;-70.312;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;-70.312;-70.312;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;-70.312;0.000;-70.312;-70.312;-1054.688;-140.625;1054.688;0.000;0.000;0.000;0.000;-70.312;-140.625;0.000;2320.312;-2390.625;-281.250;-70.312;0.000;0.000;-210.938;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-210.938;0.000;140.625;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;70.312	391.5628	14905	3965	W_5205	SW_045	SE	SW	1	1.5		1	0	1	1	0	1	M	BC
31	Spectrogram 1	2	392.483578475	392.788159369	4242.641	10117.066	5874.426	0.3046	SeaPro_20210811_102305_2CH192K16.wav	9937.500;9937.500;9937.500;9937.500;9937.500;9562.500;9562.500;9562.500;9562.500;9375.000;4500.000;9187.500;9187.500;9187.500;9000.000;9000.000;9937.500;8812.500;8812.500;8812.500;8625.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8250.000;8437.500;8250.000;4312.500;8437.500;8250.000;8250.000;8250.000;8062.500;8062.500;8062.500;7875.000;7687.500;7312.500;6937.500;6937.500;6937.500;6000.000;5812.500;5062.500;5250.000;5062.500;5062.500;4875.000;4687.500;4687.500;4687.500;4687.500;4687.500;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4312.500;4500.000;4500.000;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4500.000;4500.000;4687.500	0.000;0.000;0.000;0.000;-140.625;0.000;0.000;0.000;-70.312;-1828.125;1757.812;0.000;0.000;-70.312;0.000;351.562;-421.875;0.000;0.000;-70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;70.312;-70.312;-1476.562;1546.875;-70.312;0.000;0.000;-70.312;0.000;0.000;-70.312;-70.312;-140.625;-140.625;0.000;0.000;-351.562;-70.312;-281.250;70.312;-70.312;0.000;-70.312;-70.312;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;70.312	392.4836	10324	3965	W_5205	SW_045	SE	SW	1	3		1	0	1	1	0	1	M	W-CT-BC
33	Spectrogram 1	2	393.612165834	393.888612750	4438.455	11030.866	6592.411	0.2764	SeaPro_20210811_102305_2CH192K16.wav	10875.000;10875.000;10875.000;10875.000;10687.500;10687.500;10500.000;10312.500;10312.500;10312.500;9937.500;9937.500;9750.000;9562.500;9562.500;9375.000;9375.000;9187.500;9000.000;9187.500;9000.000;9000.000;9000.000;9000.000;8812.500;8812.500;8625.000;8625.000;8625.000;8625.000;8625.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8062.500;8062.500;8062.500;8062.500;8062.500;7875.000;8062.500;7875.000;7687.500;7500.000;7500.000;7125.000;6562.500;6562.500;6375.000;6375.000;5812.500;5812.500;5812.500;5812.500;5812.500;5812.500;5812.500;5812.500;5812.500;5250.000;5250.000;5062.500;5062.500;5062.500;5062.500;5062.500;4875.000;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4500.000;4500.000;4500.000;4500.000;4687.500;4687.500;4687.500;4687.500;4687.500	0.000;0.000;0.000;-70.312;0.000;-70.312;-70.312;0.000;0.000;-140.625;0.000;-70.312;-70.312;0.000;-70.312;0.000;-70.312;-70.312;70.312;-70.312;0.000;0.000;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;-70.312;-70.312;0.000;-140.625;-210.938;0.000;-70.312;0.000;-210.938;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-210.938;0.000;-70.312;0.000;0.000;0.000;0.000;-70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000	393.6122	11145	4239	W_5205	SW_045	SE	SW	1	3		1	0	1	1	0	1	M	CT-BC
34	Spectrogram 1	2	394.617620521	394.940549662	4568.998	12009.937	7440.939	0.3229	SeaPro_20210811_102305_2CH192K16.wav	11437.500;11437.500;11250.000;11437.500;11250.000;11250.000;11062.500;10875.000;10875.000;10687.500;10687.500;10500.000;10500.000;10312.500;10312.500;10312.500;10125.000;9937.500;9937.500;9937.500;9750.000;9750.000;9750.000;9750.000;9562.500;9562.500;9375.000;9375.000;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8250.000;8250.000;8062.500;8062.500;8062.500;7875.000;7875.000;7875.000;7500.000;7500.000;7312.500;7125.000;6750.000;6562.500;6187.500;6000.000;5812.500;5625.000;4687.500;4875.000;5062.500;5062.500;5250.000;5250.000;5250.000;5250.000;5250.000;5250.000;5250.000;5062.500;5062.500;5062.500;5062.500;5062.500;4875.000;4875.000;4875.000;4875.000;4875.000;4875.000;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4875.000;4875.000;4875.000;4875.000;4875.000;4875.000;5062.500	0.000;-70.312;70.312;-70.312;0.000;-70.312;-70.312;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;-70.312;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;-140.625;0.000;-70.312;-70.312;-140.625;-70.312;-140.625;-70.312;-70.312;-70.312;-351.562;70.312;70.312;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;70.312	394.6176	12444	4307	W_5205	SW_045	SE	SW	1	3		1	0	1	1	0	1	M	CT-BC
47	Spectrogram 1	2	407.044115600	407.355994300	4307.692	11213.675	6905.983	0.3119	SeaPro_20210811_102305_2CH192K16.wav	4875.000;4875.000;4687.500;10687.500;4875.000;4312.500;5250.000;4312.500;4687.500;5250.000;5250.000;4687.500;4312.500;4312.500;4687.500;5250.000;4875.000;4312.500;4312.500;8812.500;5062.500;5062.500;5062.500;8625.000;8625.000;8625.000;8625.000;4312.500;8625.000;8437.500;8437.500;5250.000;5250.000;5250.000;8437.500;5250.000;5250.000;4500.000;4500.000;5250.000;8437.500;4312.500;5062.500;5250.000;8250.000;5250.000;5250.000;5250.000;5250.000;5250.000;5250.000;8250.000;8250.000;8250.000;8250.000;6187.500;5250.000;5062.500;8250.000;8250.000;8250.000;4312.500;8250.000;8250.000;8062.500;8250.000;4312.500;5437.500;5250.000;5250.000;5250.000;7687.500;7687.500;5250.000;7312.500;5250.000;7125.000;6937.500;6937.500;6562.500;6562.500;5250.000;5250.000;5250.000;6000.000;6000.000;5812.500;5625.000;5437.500;5250.000;5062.500;5062.500;4875.000;4875.000;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500;4687.500	0.000;-70.312;2250.000;-2179.688;-210.938;351.562;-351.562;140.625;210.938;0.000;-210.938;-140.625;0.000;140.625;210.938;-140.625;-210.938;0.000;1687.500;-1406.250;0.000;0.000;1335.938;0.000;0.000;0.000;-1617.188;1617.188;-70.312;0.000;-1195.312;0.000;0.000;1195.312;-1195.312;0.000;-281.250;0.000;281.250;1195.312;-1546.875;281.250;70.312;1125.000;-1125.000;0.000;0.000;0.000;0.000;0.000;1125.000;0.000;0.000;0.000;-773.438;-351.562;-70.312;1195.312;0.000;0.000;-1476.562;1476.562;0.000;-70.312;70.312;-1476.562;421.875;-70.312;0.000;0.000;914.062;0.000;-914.062;773.438;-773.438;703.125;-70.312;0.000;-140.625;0.000;-492.188;0.000;0.000;281.250;0.000;-70.312;-70.312;-70.312;-70.312;-70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	407.0441	11213	4307	W_5205	SW_045	SE	SW	1	1.5		1	0	1	1	0	1	M	CT-BC
48	Spectrogram 1	2	408.030601500	408.345870200	4102.564	10940.171	6837.607	0.3153	SeaPro_20210811_102305_2CH192K16.wav	5250.000;5250.000;5250.000;5250.000;5250.000;5250.000;4875.000;4875.000;4125.000;5250.000;5250.000;5250.000;5250.000;5250.000;4125.000;4312.500;4312.500;5250.000;4125.000;4125.000;4125.000;4312.500;4312.500;4312.500;4312.500;4312.500;4500.000;4125.000;4875.000;5062.500;4875.000;4500.000;4312.500;4125.000;4125.000;5250.000;5250.000;4312.500;5250.000;5250.000;4125.000;4312.500;5250.000;4125.000;4125.000;5250.000;5250.000;5250.000;5250.000;5250.000;5250.000;4875.000;4687.500;5250.000;4687.500;4125.000;5062.500;4125.000;4687.500;4125.000;4500.000;4687.500;4125.000;4875.000;4875.000;6187.500;7125.000;4687.500;5250.000;6375.000;6000.000;5250.000;5812.500;5625.000;5625.000;5437.500;5250.000;5250.000;5250.000;5250.000;5062.500;5062.500;5062.500;5062.500;4875.000;4875.000;4687.500;4687.500;4687.500;4687.500;4500.000;4500.000;4687.500;4500.000;4687.500;4687.500;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4500.000;4687.500;4687.500	0.000;0.000;0.000;0.000;0.000;-140.625;0.000;-281.250;421.875;0.000;0.000;0.000;0.000;-421.875;70.312;0.000;351.562;-421.875;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;-140.625;281.250;70.312;-70.312;-140.625;-70.312;-70.312;0.000;421.875;0.000;-351.562;351.562;0.000;-421.875;70.312;351.562;-421.875;0.000;421.875;0.000;0.000;0.000;0.000;0.000;-140.625;-70.312;210.938;-210.938;-210.938;351.562;-351.562;210.938;-210.938;140.625;70.312;-210.938;281.250;0.000;492.188;351.562;-914.062;210.938;421.875;-140.625;-281.250;210.938;-70.312;0.000;-70.312;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;70.312;-70.312;70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000	408.0306	10940	4102	W_5205	SW_045	SE	SW	1	1.5		1	0	1	1	0	1	M	CT-BC
