Source,Target,Type,Id,Label,Weight
SW_004,SW_006,Undirected,e2,,0.25
SW_004,SW_011,Undirected,e3,,0.1818
SW_004,SW_016,Undirected,e4,,0.2222
SW_004,SW_017,Undirected,e5,,0.25
SW_004,SW_033,Undirected,e6,,0.25
SW_004,SW_038,Undirected,e7,,0.25
SW_004,SW_050,Undirected,e8,,0.2222
SW_004,SW_067,Undirected,e9,,0.1538
SW_004,SW_068,Undirected,e10,,0.2
SW_004,SW_070,Undirected,e11,,0.25
SW_004,SW_072,Undirected,e12,,0.25
SW_006,SW_016,Undirected,e15,,0.2857
SW_006,SW_039,Undirected,e16,,0.3333
SW_010,SW_011,Undirected,e18,,0.2222
SW_010,SW_035,Undirected,e19,,0.2
SW_010,SW_039,Undirected,e20,,0.3333
SW_011,SW_029,Undirected,e24,,0.2222
SW_011,SW_031,Undirected,e25,,0.4444
SW_011,SW_032,Undirected,e26,,0.4
SW_011,SW_033,Undirected,e27,,0.2222
SW_011,SW_038,Undirected,e28,,0.2222
SW_011,SW_041,Undirected,e29,,0.2
SW_011,SW_049,Undirected,e30,,0.1818
SW_011,SW_050,Undirected,e31,,0.2
SW_011,SW_052,Undirected,e32,,0.1667
SW_011,SW_060,Undirected,e33,,0.1053
SW_011,SW_068,Undirected,e34,,0.1818
SW_011,SW_070,Undirected,e35,,0.2222
SW_011,SW_072,Undirected,e36,,0.2222
SW_011,SW_104,Undirected,e37,,0.2222
SW_016,SW_017,Undirected,e41,,0.2857
SW_016,SW_039,Undirected,e42,,0.2857
SW_016,SW_045,Undirected,e43,,0.1333
SW_016,SW_049,Undirected,e44,,0.2222
SW_016,SW_056,Undirected,e45,,0.2222
SW_016,SW_060,Undirected,e46,,0.1176
SW_017,SW_052,Undirected,e50,,0.2222
SW_020,SW_024,Undirected,e52,,0.1818
SW_020,SW_045,Undirected,e53,,0.375
SW_020,SW_049,Undirected,e54,,0.2
SW_020,SW_052,Undirected,e55,,0.1818
SW_020,SW_060,Undirected,e56,,0.1111
SW_020,SW_066,Undirected,e57,,0.25
SW_020,SW_067,Undirected,e58,,0.1538
SW_020,SW_068,Undirected,e59,,0.2
SW_020,SW_106,Undirected,e60,,0.25
SW_022,SW_031,Undirected,e62,,0.3333
SW_022,SW_032,Undirected,e63,,0.2857
SW_022,SW_033,Undirected,e64,,0.3333
SW_024,SW_025,Undirected,e67,,0.2222
SW_024,SW_045,Undirected,e68,,0.1176
SW_024,SW_048,Undirected,e69,,0.2222
SW_024,SW_049,Undirected,e70,,0.1818
SW_024,SW_056,Undirected,e71,,0.1818
SW_024,SW_058,Undirected,e72,,0.1538
SW_024,SW_060,Undirected,e73,,0.2105
SW_024,SW_070,Undirected,e74,,0.2222
SW_025,SW_029,Undirected,e77,,0.3333
SW_025,SW_106,Undirected,e78,,0.3333
SW_026,SW_033,Undirected,e80,,0.3333
SW_026,SW_035,Undirected,e81,,0.2
SW_026,SW_038,Undirected,e82,,0.3333
SW_026,SW_039,Undirected,e83,,0.3333
SW_026,SW_041,Undirected,e84,,0.2857
SW_026,SW_045,Undirected,e85,,0.1429
SW_026,SW_048,Undirected,e86,,0.3333
SW_026,SW_058,Undirected,e87,,0.2
SW_029,SW_031,Undirected,e91,,0.3333
SW_029,SW_032,Undirected,e92,,0.2857
SW_029,SW_049,Undirected,e93,,0.25
SW_029,SW_052,Undirected,e94,,0.2222
SW_029,SW_060,Undirected,e95,,0.125
SW_029,SW_068,Undirected,e96,,0.25
SW_029,SW_104,Undirected,e97,,0.3333
SW_029,SW_106,Undirected,e98,,0.3333
SW_031,SW_032,Undirected,e103,,0.8571
SW_031,SW_049,Undirected,e104,,0.25
SW_031,SW_052,Undirected,e105,,0.2222
SW_031,SW_060,Undirected,e106,,0.125
SW_031,SW_068,Undirected,e107,,0.25
SW_031,SW_104,Undirected,e108,,0.3333
SW_032,SW_049,Undirected,e114,,0.2222
SW_032,SW_052,Undirected,e115,,0.2
SW_032,SW_060,Undirected,e116,,0.1176
SW_032,SW_068,Undirected,e117,,0.2222
SW_032,SW_104,Undirected,e118,,0.2857
SW_033,SW_035,Undirected,e124,,0.2
SW_033,SW_038,Undirected,e125,,0.6667
SW_033,SW_039,Undirected,e126,,0.3333
SW_033,SW_041,Undirected,e127,,0.2857
SW_033,SW_045,Undirected,e128,,0.1429
SW_033,SW_048,Undirected,e129,,0.3333
SW_033,SW_050,Undirected,e130,,0.2857
SW_033,SW_070,Undirected,e131,,0.3333
SW_033,SW_072,Undirected,e132,,0.3333
SW_035,SW_038,Undirected,e137,,0.2
SW_035,SW_039,Undirected,e138,,0.2
SW_035,SW_041,Undirected,e139,,0.1818
SW_035,SW_045,Undirected,e140,,0.1111
SW_035,SW_048,Undirected,e141,,0.2
SW_035,SW_049,Undirected,e142,,0.1667
SW_035,SW_056,Undirected,e143,,0.3333
SW_035,SW_067,Undirected,e144,,0.1333
SW_038,SW_039,Undirected,e151,,0.3333
SW_038,SW_041,Undirected,e152,,0.2857
SW_038,SW_045,Undirected,e153,,0.2857
SW_038,SW_048,Undirected,e154,,0.3333
SW_038,SW_050,Undirected,e155,,0.5714
